Country,Year,Region,Overall rank,Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
Haiti,2015,Latin America and Caribbean,119,4.518,0.26673,0.38847,0.24425,0.17175,0.46187
Haiti,2016,Latin America and Caribbean,136,4.028,0.34097,0.27494,0.12072,0.14476,0.47958
Haiti,2017,Latin America and Caribbean,145,3.602999926,0.368610263,0.27732113,0.030369857,0.09987215,0.489203781
Haiti,2018,Latin America and Caribbean,148,3.582,0.315,0.289,0.025,0.104,0.392
Haiti,2019,Latin America and Caribbean,147,3.597,0.322999999999999,0.449,0.026,0.11,0.419
Botswana,2015,Sub-Saharan Africa,128,4.332,0.99355,0.04776,0.49495,0.12474,0.10461
Botswana,2016,Sub-Saharan Africa,137,3.97399999999999,1.09426,0.34752,0.440889999999999,0.10769,0.12425
Botswana,2017,Sub-Saharan Africa,142,3.766000032,1.122094154,0.341755508999999,0.505196333,0.098583199,0.099348448
Botswana,2018,Sub-Saharan Africa,146,3.59,1.017,0.417,0.557,0.092,0.042
Botswana,2019,Sub-Saharan Africa,148,3.488,1.041,0.537999999999999,0.455,0.1,0.025
Syria,2015,Middle East and Northern Africa,156,3.006,0.6632,0.72193,0.15684,0.189059999999999,0.47179
Syria,2016,Middle East and Northern Africa,156,3.069,0.747189999999999,0.629939999999999,0.06912,0.172329999999999,0.483969999999999
Syria,2017,Middle East and Northern Africa,152,3.461999893,0.777153134,0.500533342,0.081539445,0.151347131,0.493663727999999
Syria,2018,Middle East and Northern Africa,150,3.46199999999999,0.689,0.539,0.088,0.144,0.376
Syria,2019,Middle East and Northern Africa,149,3.46199999999999,0.619,0.44,0.013,0.141,0.331
Malawi,2015,Sub-Saharan Africa,131,4.292,0.01604,0.22562,0.43054,0.06977,0.33128
Malawi,2016,Sub-Saharan Africa,132,4.156,0.08709,0.29364,0.4143,0.07564,0.30968
Malawi,2017,Sub-Saharan Africa,136,3.970000029,0.233442038,0.315089583,0.466914654,0.072711654,0.28717047
Malawi,2018,Sub-Saharan Africa,147,3.58699999999999,0.186,0.306,0.531,0.08,0.21
Malawi,2019,Sub-Saharan Africa,150,3.41,0.191,0.495,0.442999999999999,0.089,0.218
Yemen,2015,Middle East and Northern Africa,136,4.077,0.546489999999999,0.40064,0.355709999999999,0.07854,0.09131
Yemen,2016,Middle East and Northern Africa,147,3.72399999999999,0.57939,0.31048,0.2287,0.05892,0.09821
Yemen,2017,Middle East and Northern Africa,146,3.592999935,0.591683447,0.310080916,0.249463722,0.056767423,0.104125209
Yemen,2018,Middle East and Northern Africa,152,3.355,0.442,0.342999999999999,0.244,0.064,0.083
Yemen,2019,Middle East and Northern Africa,151,3.38,0.287,0.462999999999999,0.143,0.077,0.108
Rwanda,2015,Sub-Saharan Africa,154,3.465,0.22208,0.428639999999999,0.59201,0.55191,0.22628
Rwanda,2016,Sub-Saharan Africa,152,3.515,0.32846,0.31865,0.5432,0.50521,0.235519999999999
Rwanda,2017,Sub-Saharan Africa,151,3.470999956,0.368745893,0.326424807,0.581843853,0.455220014,0.252756029
Rwanda,2018,Sub-Saharan Africa,151,3.408,0.332,0.4,0.636,0.444,0.2
Rwanda,2019,Sub-Saharan Africa,152,3.33399999999999,0.359,0.614,0.555,0.411,0.217
Tanzania,2015,Sub-Saharan Africa,146,3.781,0.2852,0.38215,0.32878,0.05747,0.343769999999999
Tanzania,2016,Sub-Saharan Africa,149,3.666,0.47155,0.357,0.3176,0.05099,0.31472
Tanzania,2017,Sub-Saharan Africa,153,3.348999977,0.511135876,0.364509284,0.390017778,0.066035107,0.354256362
Tanzania,2018,Sub-Saharan Africa,153,3.303,0.455,0.381,0.481,0.0969999999999999,0.27
Tanzania,2019,Sub-Saharan Africa,153,3.231,0.476,0.499,0.417,0.147,0.276
Afghanistan,2015,Southern Asia,153,3.575,0.31982,0.30335,0.23414,0.09719,0.3651
Afghanistan,2016,Southern Asia,154,3.36,0.38227,0.17344,0.1643,0.07112,0.31268
Afghanistan,2017,Southern Asia,141,3.79399991,0.401477217999999,0.180746779,0.10617952,0.06115783,0.311870933
Afghanistan,2018,Southern Asia,145,3.63199999999999,0.332,0.255,0.085,0.036,0.191
Afghanistan,2019,Southern Asia,154,3.203,0.35,0.361,0.0,0.025,0.158
Central African Republic,2015,Sub-Saharan Africa,148,3.678,0.0785,0.06699,0.488789999999999,0.0828899999999999,0.23835
Central African Republic,2017,Sub-Saharan Africa,155,2.693000078,0.0,0.018772686,0.270842046,0.056565076,0.280876487
Central African Republic,2018,Sub-Saharan Africa,155,3.083,0.024,0.01,0.305,0.038,0.218
Central African Republic,2019,Sub-Saharan Africa,155,3.083,0.026,0.105,0.225,0.035,0.235
South Sudan,2016,Sub-Saharan Africa,143,3.832,0.39394,0.157809999999999,0.19662,0.13015,0.25899
South Sudan,2017,,147,3.59100008,0.397248626,0.163486004,0.147062436,0.116793513,0.285670816999999
South Sudan,2018,,154,3.25399999999999,0.337,0.177,0.111999999999999,0.106,0.223999999999999
South Sudan,2019,,156,2.853,0.306,0.295,0.01,0.091,0.201999999999999
