Country,Year,Region,Overall rank,Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
Finland,2015,Western Europe,6,7.406,1.29025,0.88911,0.64169,0.41372,0.23351
Finland,2016,Western Europe,5,7.41299999999999,1.40598,0.81091,0.57104,0.410039999999999,0.25492
Finland,2017,Western Europe,5,7.468999863,1.443571925,0.80915767,0.617950857,0.382611542999999,0.245482773
Finland,2018,Western Europe,1,7.632,1.305,0.874,0.680999999999999,0.392999999999999,0.201999999999999
Finland,2019,Western Europe,1,7.769,1.34,0.986,0.596,0.392999999999999,0.153
Denmark,2015,Western Europe,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139
Denmark,2016,Western Europe,1,7.526,1.44177999999999,0.79504,0.57941,0.44453,0.36171
Denmark,2017,Western Europe,2,7.521999836,1.482383013,0.792565525,0.626006722,0.400770068,0.355280489
Denmark,2018,Western Europe,3,7.555,1.351,0.868,0.682999999999999,0.408,0.284
Denmark,2019,Western Europe,2,7.6,1.383,0.996,0.592,0.41,0.252
Norway,2015,Western Europe,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699
Norway,2016,Western Europe,4,7.49799999999999,1.57744,0.79579,0.59609,0.357759999999999,0.37895
Norway,2017,Western Europe,1,7.537000179,1.616463184,0.796666503,0.635422587,0.315963835,0.362012237
Norway,2018,Western Europe,2,7.59399999999999,1.456,0.861,0.685999999999999,0.34,0.286
Norway,2019,Western Europe,3,7.55399999999999,1.488,1.028,0.603,0.341,0.271
Iceland,2015,Western Europe,2,7.561,1.30232,0.94784,0.628769999999999,0.14145,0.4363
Iceland,2016,Western Europe,3,7.501,1.42666,0.867329999999999,0.56624,0.14975,0.47678
Iceland,2017,Western Europe,3,7.504000187,1.48063302,0.833552122,0.627162635,0.153526559,0.475540221
Iceland,2018,Western Europe,4,7.495,1.343,0.914,0.677,0.138,0.353
Iceland,2019,Western Europe,4,7.494,1.38,1.026,0.591,0.118,0.354
Netherlands,2015,Western Europe,7,7.37799999999999,1.32944,0.89284,0.61576,0.31814,0.4761
Netherlands,2016,Western Europe,7,7.33899999999999,1.46468,0.81231,0.55211,0.29927,0.47416
Netherlands,2017,Western Europe,6,7.376999855,1.503944635,0.810696125,0.585384488,0.282661825,0.47048983
Netherlands,2018,Western Europe,6,7.441,1.361,0.878,0.638,0.295,0.332999999999999
Netherlands,2019,Western Europe,5,7.48799999999999,1.396,0.999,0.557,0.298,0.322
Switzerland,2015,Western Europe,1,7.587,1.39651,0.941429999999999,0.66557,0.41978,0.29678
Switzerland,2016,Western Europe,2,7.50899999999999,1.52732999999999,0.86303,0.58557,0.41203,0.28083
Switzerland,2017,Western Europe,4,7.493999958,1.564979553,0.858131289,0.620070577,0.367007285,0.290549278
Switzerland,2018,Western Europe,5,7.487,1.42,0.927,0.66,0.357,0.256
Switzerland,2019,Western Europe,6,7.48,1.452,1.052,0.572,0.342999999999999,0.263
Sweden,2015,Western Europe,8,7.364,1.33171,0.91087,0.6598,0.438439999999999,0.36262
Sweden,2016,Western Europe,10,7.291,1.45181,0.83121,0.58218,0.40867,0.38254
Sweden,2017,Western Europe,9,7.28399992,1.494387269,0.830875158,0.612924099,0.384398729,0.385399252
Sweden,2018,Western Europe,9,7.314,1.355,0.912999999999999,0.659,0.382999999999999,0.285
Sweden,2019,Western Europe,7,7.343,1.38699999999999,1.009,0.574,0.373,0.267
New Zealand,2015,Australia and New Zealand,9,7.286,1.25017999999999,0.90837,0.63938,0.42922,0.47501
New Zealand,2016,Australia and New Zealand,8,7.334,1.36066,0.83096,0.581469999999999,0.419039999999999,0.49401
New Zealand,2017,Australia and New Zealand,8,7.31400013,1.405706048,0.816759705999999,0.61406213,0.382816702,0.500005126
New Zealand,2018,Australia and New Zealand,8,7.324,1.268,0.875999999999999,0.669,0.389,0.365
New Zealand,2019,Australia and New Zealand,8,7.307,1.303,1.026,0.585,0.38,0.33
Canada,2015,North America,5,7.427,1.32629,0.905629999999999,0.63297,0.32957,0.45811
Canada,2016,North America,6,7.404,1.44015,0.8276,0.5737,0.31329,0.448339999999999
Canada,2017,North America,7,7.315999985,1.479204416,0.834557652,0.611100912,0.287371516,0.435539722
Canada,2018,North America,7,7.32799999999999,1.33,0.895999999999999,0.653,0.291,0.321
Canada,2019,North America,9,7.278,1.365,1.039,0.584,0.308,0.285
Austria,2015,Western Europe,13,7.2,1.33723,0.89042,0.62433,0.186759999999999,0.33088
Austria,2016,Western Europe,12,7.119,1.45038,0.80565,0.54355,0.21348,0.32865
Austria,2017,Western Europe,13,7.006000042,1.487097263,0.815328419,0.56776619,0.221060365,0.316472322
Austria,2018,Western Europe,12,7.13899999999999,1.341,0.890999999999999,0.617,0.223999999999999,0.242
Austria,2019,Western Europe,10,7.246,1.376,1.016,0.532,0.226,0.244
